기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,투자조합배당수익,자회사지분매각(일부+전부),국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)",연도
AQ(연세대학교 기술지주),2023-12-31,12,단독형,①서울/경기/인천,6~8개사,20개이상(45개),8억이상~10억미만,60억이상(165.1억),10억이상~30억미만,9명이상(16명),10억이상~30억미만,0원,5억이상~10억미만,5천만원이상,10억이상,0원,2023
AR,2023-12-31,11,단독형,③부산/울산/경남,0개사,10개미만,1억미만,20억이상~30억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,3천만원미만,0원,5천만원이상~1억원미만,0원,2023
AT,2023-12-31,7,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,1억이상~3억미만,20억이상~30억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,3천만원미만,0원,1억원이상~5억원미만,0원,2023
AU(인제대학교 기술지주),2023-12-31,5,단독형,③부산/울산/경남,6~8개사,20개이상(38개),3억이상~5억미만,10억이상~20억미만,1천만원미만,0명,5천만원이상~1억원미만,0원,0원,1천만원이상~5천만원미만,3천만원이상~5천만원미만,0원,2023
AV(인천대학교 기술지주),2023-12-31,14,단독형,①서울/경기/인천,9개사 이상(9개),20개이상(34개),3억이상~5억미만,40억이상~50억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,5천만원이상,0원,0원,3천만원이상~5천만원미만,3천만원이상~5천만원미만,2023
AW,2023-12-31,5,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,0명,5천만원이상~1억원미만,0원,0원,0원,0원,5천만원이상~1억원미만,2023
AX(전남대학교 기술지주),2023-12-31,12,단독형,⑤광주/전남/전북,9개사 이상(11개),20개이상(51개),3억이상~5억미만,50억이상~60억미만,10억이상~30억미만,9명이상(10명),10억이상~30억미만,0원,1억원이상~5억원미만,1천만원이상~5천만원미만,10억이상,3천만원미만,2023
AY,2023-12-31,11,단독형,⑦제주,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만,2023
AZ,2023-12-31,3,단독형,⑦제주,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2023
B(강원지역대학연합기술지주),2023-12-31,14,공동형,⑥강원,3~5개사,20개이상(57개),5억이상~8억미만,10억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,3천만원미만,1천만원이상~5천만원미만,1억원이상~5억원미만,1억원이상~5억원미만,2023
BA,2023-12-31,13,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2023
BB(경일대학교 기술지주),2023-12-31,0,단독형,④대구/경북,9개사 이상(9개),10개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,1억원이상~5억원미만,2023
BC(금오공과대학교 기술지주),2023-12-31,1,단독형,④대구/경북,9개사 이상(10개),20개이상(21개),3억이상~5억미만,10억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2023
BD,2023-12-31,0,단독형,②대전/충남/충북,6~8개사,10개미만,1억미만,10억미만,1천만원이상~5천만원미만,1~2명,1천만원미만,0원,0원,0원,0원,3천만원미만,2023
BE,2023-12-31,10,단독형,③부산/울산/경남,3~5개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,3천만원이상~5천만원미만,0원,2023
BF(국민대학교기술지주),2023-12-31,5,단독형,①서울/경기/인천,9개사 이상(9개),20개이상(39개),5억이상~8억미만,60억이상(268.6억),5억이상~10억미만,6~8명,5억이상~10억미만,0원,3천만원이상~5천만원미만,1천만원이상~5천만원미만,1억원이상~5억원미만,1억원이상~5억원미만,2023
BG(군산대학교 기술지주),2023-12-31,5,단독형,⑤광주/전남/전북,3~5개사,20개이상(22개),15억이상,10억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원미만,2023
BH,2023-12-31,13,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,3천만원이상~5천만원미만,5천만원이상,1억원이상~5억원미만,0원,2023
BI(대경지역 대학 공동기술지주),2023-12-31,9,공동형,④대구/경북,3~5개사,20개이상(68개),5억이상~8억미만,60억이상(66.7억),1억원이상~5억원미만,6~8명,1억원이상~5억원미만,0원,1억원이상~5억원미만,5천만원이상,3천만원이상~5천만원미만,3천만원미만,2023
BJ,2023-12-31,5,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원,2023
BK(순천향대학교 기술지주),2023-12-31,9,단독형,②대전/충남/충북,1~2개사,20개이상(35개),8억이상~10억미만,10억이상~20억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2023
BL(엔포유대학연합기술지주),2023-12-31,7,공동형,①서울/경기/인천,9개사 이상(13개),20개이상(66개),5억이상~8억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원미만,1억원이상~5억원미만,3천만원미만,2023
BM(연세대 바이오헬스 기술지주),2023-12-31,2,단독형,①서울/경기/인천,0개사,10개미만,15억이상,50억이상~60억미만,10억이상~30억미만,3~5명,1억원이상~5억원미만,0원,3천만원미만,0원,0원,1억원이상~5억원미만,2023
BN,2023-12-31,3,단독형,④대구/경북,1~2개사,10개미만,1억이상~3억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,5천만원이상~1억원미만,2023
BO(전남지역대학연합 창업기술지주),2023-12-31,5,공동형,⑤광주/전남/전북,3~5개사,20개이상(27개),8억이상~10억미만,30억이상~40억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,5천만원이상,5천만원이상~1억원미만,0원,2023
BP(전북지역대학연합기술지주),2023-12-31,12,공동형,⑤광주/전남/전북,0개사,20개이상(24개),15억이상,60억이상(69.4억),5억이상~10억미만,6~8명,10억이상~30억미만,0원,1억원이상~5억원미만,5천만원이상,1억원이상~5억원미만,0원,2023
BQ,2023-12-31,5,공동형,④대구/경북,0개사,10개미만,3억이상~5억미만,10억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,1천만원미만,1억원이상~5억원미만,0원,2023
BR,2023-12-31,5,단독형,②대전/충남/충북,3~5개사,10개이상~20개미만,5억이상~8억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2023
BS,2023-12-31,4,단독형,⑤광주/전남/전북,0개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상~1억원미만,1천만원미만,5천만원이상~1억원미만,3천만원미만,2023
BT,2023-12-31,9,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2023
BU(창원대학교 기술지주),2023-12-31,5,단독형,③부산/울산/경남,1~2개사,10개미만,15억이상,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원이상~5천만원미만,2023
BV(충남대학교 기술지주),2023-12-31,6,단독형,②대전/충남/충북,9개사 이상(11개),20개이상(44개),3억이상~5억미만,50억이상~60억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1억원이상~5억원미만,1천만원이상~5천만원미만,1억원이상~5억원미만,3천만원미만,2023
BW(충북대학교 기술지주),2023-12-31,7,단독형,②대전/충남/충북,3~5개사,20개이상(32개),5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,1천만원미만,5천만원이상~1억원미만,0원,2023
BX(포항공과대학교 기술지주),2023-12-31,11,단독형,④대구/경북,1~2개사,20개이상(24개),3억이상~5억미만,60억이상(71.2억),30억이상,9명이상(13명),30억이상,0원,10억이상,0원,5억이상~10억미만,5억이상~10억미만,2023
BY,2023-12-31,7,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2023
BZ,2023-12-31,7,단독형,②대전/충남/충북,1~2개사,10개이상~20개미만,1억미만,10억미만,1천만원이상~5천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,0원,3천만원미만,2023
C(광주지역대학연합기술지주),2023-12-31,7,공동형,⑤광주/전남/전북,3~5개사,20개이상(40개),8억이상~10억미만,60억이상(61.1억),10억이상~30억미만,6~8명,10억이상~30억미만,0원,5천만원이상~1억원미만,5천만원이상,5억이상~10억미만,0원,2023
CA,2023-12-31,1,단독형,②대전/충남/충북,1~2개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2023
CB,2023-12-31,6,단독형,①서울/경기/인천,0개사,10개미만,10억이상~15억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2023
CC(한남대학교 기술지주),2023-12-31,10,단독형,②대전/충남/충북,9개사 이상(10개),20개이상(41개),1억이상~3억미만,10억이상~20억미만,5천만원이상~1억원미만,3~5명,1억원이상~5억원미만,0원,3천만원미만,1천만원이상~5천만원미만,1억원이상~5억원미만,3천만원이상~5천만원미만,2023
CD,2023-12-31,3,단독형,⑥강원,1~2개사,10개미만,1억이상~3억미만,40억이상~50억미만,1천만원이상~5천만원미만,3~5명,1천만원이상~5천만원미만,0원,3천만원미만,0원,0원,0원,2023
CE(한양대학교 기술지주),2023-12-31,15,단독형,①서울/경기/인천,1~2개사,20개이상(35개),8억이상~10억미만,60억이상(103.2억),5억이상~10억미만,6~8명,1억원이상~5억원미만,0원,1억원이상~5억원미만,1천만원미만,0원,0원,2023
CF,2023-12-31,10,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2023
D(대구한의대학교 기술지주),2023-12-31,6,단독형,④대구/경북,3~5개사,20개이상(29개),1억이상~3억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원미만,1억원이상~5억원미만,5천만원이상~1억원미만,2023
E,2023-12-31,7,단독형,②대전/충남/충북,1~2개사,10개미만,5억이상~8억미만,10억미만,1천만원이상~5천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2023
F(전주대학교 기술지주),2023-12-31,4,단독형,⑤광주/전남/전북,1~2개사,20개이상(23개),3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,1천만원미만,0원,0원,1억원이상~5억원미만,3천만원미만,2023
G,2023-12-31,10,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,8억이상~10억미만,20억이상~30억미만,1억원이상~5억원미만,6~8명,1억원이상~5억원미만,0원,3천만원미만,0원,1억원이상~5억원미만,0원,2023
H,2023-12-31,6,단독형,①서울/경기/인천,3~5개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,5천만원이상,3천만원미만,0원,2023
I,2023-12-31,6,단독형,⑥강원,1~2개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,1천만원미만,0원,0원,3천만원이상~5천만원미만,3천만원미만,2023
J(가톨릭대학교 기술지주),2023-12-31,11,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,5천만원이상,1억원이상~5억원미만,0원,2023
K(건국대학교 기술지주),2023-12-31,9,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,60억이상(61.3억),5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2023
L(경북대학교 기술지주),2023-12-31,10,단독형,④대구/경북,6~8개사,20개이상(35개),3억이상~5억미만,50억이상~60억미만,10억이상~30억미만,9명이상(14명),10억이상~30억미만,0원,5천만원이상~1억원미만,1천만원이상~5천만원미만,10억이상,0원,2023
M(경상국립대학교 기술지주),2023-12-31,7,단독형,③부산/울산/경남,3~5개사,20개이상(25개),3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,6~8명,1억원이상~5억원미만,0원,0원,0원,0원,1억원이상~5억원미만,2023
N,2023-12-31,14,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,1억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,5천만원이상,3천만원이상~5천만원미만,0원,2023
O(고려대학교 기술지주),2023-12-31,14,단독형,①서울/경기/인천,3~5개사,20개이상(61개),1억이상~3억미만,60억이상(205.0억),10억이상~30억미만,9명이상(10명),10억이상~30억미만,0원,5억이상~10억미만,5천만원이상,1억원이상~5억원미만,0원,2023
P,2023-12-31,4,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2023
Q,2023-12-31,6,단독형,②대전/충남/충북,3~5개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2023
R,2023-12-31,2,단독형,⑤광주/전남/전북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2023
S,2023-12-31,6,단독형,②대전/충남/충북,0개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2023
T(한국해양대학교 기술지주),2023-12-31,9,단독형,③부산/울산/경남,9개사 이상(9개),20개이상(41개),1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,5천만원이상,3천만원이상~5천만원미만,0원,2023
U(한밭대학교 기술지주),2023-12-31,9,단독형,②대전/충남/충북,3~5개사,20개이상(78개),8억이상~10억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,3천만원미만,1천만원미만,1억원이상~5억원미만,1억원이상~5억원미만,2023
V(대구대학교 기술지주),2023-12-31,6,단독형,④대구/경북,1~2개사,20개이상(23개),5억이상~8억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,5천만원이상~1억원미만,0원,2023
W(대전대학교 기술지주),2023-12-31,6,단독형,②대전/충남/충북,3~5개사,20개이상(20개),1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,3천만원미만,0원,1억원이상~5억원미만,3천만원미만,2023
X(동국대학교 기술지주),2023-12-31,13,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,15억이상,30억이상~40억미만,1천만원미만,3~5명,0원,0원,0원,0원,0원,0원,2023
Y,2023-12-31,1,단독형,③부산/울산/경남,1~2개사,10개미만,5억이상~8억미만,10억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,0원,3천만원미만,2023
Z,2023-12-31,13,단독형,⑤광주/전남/전북,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2023
A(강원대학교 기술지주),2024,10,단독형,⑥강원,3~5개사,20개이상(40개),1억이상~3억미만,10억이상~20억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,5천만원이상~1억원미만,1천만원이상~5천만원미만,5천만원이상~1억원미만,0원,2024
AA(동아대학교 기술지주),2024,12,단독형,③부산/울산/경남,3~5개사,20개이상(34개),5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,0원,1천만원이상~5천만원미만,3천만원이상~5천만원미만,0원,2024
AB(동의대학교 기술지주),2024,3,단독형,③부산/울산/경남,3~5개사,20개이상(26개),1억이상~3억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2024
AC,2024,8,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,5천만원이상,3천만원미만,0원,2024
AD,2024,0,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2024
AE(부산대학교 기술지주),2024,14,단독형,③부산/울산/경남,0개사,20개이상(37개),5억이상~8억미만,60억이상(82.9억),5억이상~10억미만,9명이상(19명),10억이상~30억미만,0원,1억원이상~5억원미만,0원,5억이상~10억미만,5억이상~10억미만,2024
AF(부산지역대학연합기술지주),2024,9,공동형,③부산/울산/경남,1~2개사,20개이상(44개),8억이상~10억미만,60억이상(162.3억),10억이상~30억미만,9명이상(12명),5억이상~10억미만,0원,1억원이상~5억원미만,5천만원이상,1억원이상~5억원미만,0원,2024
AG,2024,15,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2024
AH(서강대학교 기술지주),2024,15,단독형,①서울/경기/인천,0개사,10개이상~20개미만,10억이상~15억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원,2024
AI(서울대학교 기술지주),2024,16,단독형,①서울/경기/인천,1~2개사,20개이상(47개),10억이상~15억미만,60억이상(200.0억),30억이상,9명이상(13명),10억이상~30억미만,0원,10억이상,5천만원이상,0원,0원,2024
AJ,2024,6,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억이상~20억미만,1억원이상~5억원미만,3~5명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2024
AK,2024,12,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,30억이상~40억미만,1천만원미만,3~5명,5억이상~10억미만,0원,0원,0원,5억이상~10억미만,0원,2024
AL,2024,12,단독형,①서울/경기/인천,0개사,10개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2024
AM,2024,8,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원이상~5천만원미만,0명,0원,0원,0원,0원,0원,0원,2024
AN,2024,8,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원,2024
AO,2024,7,단독형,①서울/경기/인천,1~2개사,10개미만,3억이상~5억미만,20억이상~30억미만,1천만원이상~5천만원미만,3~5명,1억원이상~5억원미만,0원,3천만원미만,1천만원이상~5천만원미만,5천만원이상~1억원미만,0원,2024
AP,2024,3,단독형,①서울/경기/인천,6~8개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만,2024
AQ(연세대학교 기술지주),2024,13,단독형,①서울/경기/인천,3~5개사,20개이상(49개),5억이상~8억미만,60억이상(165.1억),5억이상~10억미만,9명이상(16명),10억이상~30억미만,0원,5억이상~10억미만,1천만원이상~5천만원미만,10억이상,5천만원이상~1억원미만,2024
AR,2024,12,단독형,③부산/울산/경남,0개사,10개미만,1억미만,20억이상~30억미만,1천만원미만,3~5명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원,2024
AS,2024,0,단독형,⑤광주/전남/전북,1~2개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2024
AT,2024,8,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,1억이상~3억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,3천만원미만,0원,1억원이상~5억원미만,0원,2024
AU(인제대학교 기술지주),2024,6,단독형,③부산/울산/경남,6~8개사,20개이상(44개),5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,0원,1천만원이상~5천만원미만,3천만원이상~5천만원미만,0원,2024
AV(인천대학교 기술지주),2024,15,단독형,①서울/경기/인천,3~5개사,20개이상(37개),3억이상~5억미만,40억이상~50억미만,1천만원미만,1~2명,5천만원이상~1억원미만,5천만원이상,0원,0원,0원,0원,2024
AW,2024,6,단독형,①서울/경기/인천,0개사,10개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,0명,5천만원이상~1억원미만,0원,0원,0원,0원,5천만원이상~1억원미만,2024
AX(전남대학교 기술지주),2024,13,단독형,⑤광주/전남/전북,3~5개사,20개이상(56개),1억이상~3억미만,50억이상~60억미만,10억이상~30억미만,9명이상(11명),10억이상~30억미만,0원,1억원이상~5억원미만,1천만원미만,5억이상~10억미만,5억이상~10억미만,2024
AY,2024,12,단독형,⑦제주,0개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,0명,5천만원이상~1억원미만,0원,3천만원미만,1천만원미만,3천만원이상~5천만원미만,0원,2024
AZ,2024,4,단독형,⑦제주,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2024
B(강원지역대학연합기술지주),2024,15,공동형,⑥강원,1~2개사,20개이상(57개),5억이상~8억미만,10억미만,5천만원이상~1억원미만,3~5명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,5천만원이상~1억원미만,2024
BA,2024,14,단독형,⑤광주/전남/전북,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원,2024
BB(경일대학교 기술지주),2024,1,단독형,④대구/경북,3~5개사,10개이상~20개미만,1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,3천만원미만,2024
BC(금오공과대학교 기술지주),2024,2,단독형,④대구/경북,9개사 이상(10개),20개이상(31개),5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,0원,0원,0원,0원,0원,0원,2024
BD(건국대학교글로컬기술지주),2024,1,단독형,②대전/충남/충북,9개사 이상(14개),20개이상(21개),1억이상~3억미만,10억미만,1천만원이상~5천만원미만,1~2명,1천만원미만,0원,0원,1천만원미만,0원,0원,2024
BE,2024,11,단독형,③부산/울산/경남,1~2개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원미만,2024
BF(국민대학교기술지주),2024,6,단독형,①서울/경기/인천,9개사 이상(9개),20개이상(48개),3억이상~5억미만,60억이상(268.6억),5억이상~10억미만,3~5명,1억원이상~5억원미만,0원,3천만원미만,1천만원미만,1억원이상~5억원미만,1억원이상~5억원미만,2024
BG(군산대학교 기술지주),2024,6,단독형,⑤광주/전남/전북,6~8개사,20개이상(29개),10억이상~15억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,1천만원이상~5천만원미만,5천만원이상~1억원미만,0원,2024
BH,2024,14,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,1천만원미만,0원,1천만원이상~5천만원미만,0원,0원,2024
BI(대경지역 대학 공동기술지주),2024,10,공동형,④대구/경북,3~5개사,20개이상(72개),5억이상~8억미만,60억이상(66.7억),1억원이상~5억원미만,6~8명,5억이상~10억미만,0원,1억원이상~5억원미만,5천만원이상,5천만원이상~1억원미만,1억원이상~5억원미만,2024
BJ,2024,6,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원,2024
BK(순천향대학교 기술지주),2024,10,단독형,②대전/충남/충북,0개사,20개이상(35개),8억이상~10억미만,10억이상~20억미만,1천만원미만,0명,1천만원이상~5천만원미만,0원,0원,1천만원이상~5천만원미만,0원,0원,2024
BL(엔포유대학연합기술지주),2024,8,공동형,①서울/경기/인천,3~5개사,20개이상(70개),5억이상~8억미만,30억이상~40억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,3천만원미만,2024
BM(연세대 바이오헬스 기술지주),2024,3,단독형,①서울/경기/인천,1~2개사,10개미만,15억이상,60억이상(63.2억),5천만원이상~1억원미만,3~5명,5천만원이상~1억원미만,0원,5천만원이상~1억원미만,0원,0원,0원,2024
BN,2024,4,단독형,④대구/경북,3~5개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,1천만원미만,0원,0원,1억원이상~5억원미만,5천만원이상~1억원미만,2024
BO(전남지역대학연합 창업기술지주),2024,6,공동형,⑤광주/전남/전북,1~2개사,20개이상(28개),10억이상~15억미만,30억이상~40억미만,5억이상~10억미만,3~5명,1억원이상~5억원미만,0원,3천만원미만,5천만원이상,0원,3천만원미만,2024
BP(전북지역대학연합기술지주),2024,13,공동형,⑤광주/전남/전북,0개사,20개이상(24개),15억이상,60억이상(69.4억),1억원이상~5억원미만,6~8명,5억이상~10억미만,0원,1억원이상~5억원미만,0원,1억원이상~5억원미만,0원,2024
BQ,2024,6,공동형,④대구/경북,0개사,10개미만,1억미만,10억미만,5억이상~10억미만,6~8명,5억이상~10억미만,0원,0원,0원,1억원이상~5억원미만,1억원이상~5억원미만,2024
BR,2024,6,단독형,②대전/충남/충북,6~8개사,10개이상~20개미만,10억이상~15억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,0원,0원,2024
BS,2024,5,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,3억이상~5억미만,20억이상~30억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,3천만원미만,1천만원이상~5천만원미만,5천만원이상~1억원미만,3천만원미만,2024
BT,2024,10,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원미만,1천만원미만,0원,0원,0원,0원,2024
BU(창원대학교 기술지주),2024,6,단독형,③부산/울산/경남,0개사,10개미만,5억이상~8억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,1억원이상~5억원미만,0원,2024
BV(충남대학교 기술지주),2024,7,단독형,②대전/충남/충북,3~5개사,20개이상(49개),3억이상~5억미만,50억이상~60억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1억원이상~5억원미만,5천만원이상,1억원이상~5억원미만,0원,2024
BW(충북대학교 기술지주),2024,8,단독형,②대전/충남/충북,1~2개사,20개이상(33개),8억이상~10억미만,20억이상~30억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,3천만원미만,5천만원이상,1억원이상~5억원미만,0원,2024
